time,robot_x,robot_y,obs1_x,obs1_y,obs2_x,obs2_y,obs3_x,obs3_y
0,1,1,1,7,10,5,10,13
1,2,1,1,7,10,5,10,13
2,3,2,1,7,10,5,10,13
3,4,3,2,7,10,6,10,13
4,5,4,3,7,10,6,10,13
5,6,5,5,7,10,7,10,13
6,7,5,6,7,10,7,10,13
7,8,5,7,7,10,8,10,13
8,8,5,8,7,10,8,10,13
9,7,6,9,7,10,9,10,13
10,8,6,10,7,10,10,10,13
11,9,7,11,7,10,11,10,13
12,10,8,12,7,10,11,10,13
13,10,9,13,7,10,12,10,13
14,11,10,14,7,10,12,10,13
15,12,11,14,7,10,13,10,13
16,13,12,14,7,10,13,10,13
17,14,13,14,7,10,14,11,13
18,15,14,14,7,10,14,11,13
19,16,15,14,7,10,14,11,13
20,17,16,14,7,10,14,12,13
21,18,17,14,7,10,14,12,13
22,19,18,15,7,10,15,12,13
23,19,19,15,7,10,15,13,13
