time,robot_x,robot_y,corridor1_blocker_x,corridor1_blocker_y,Blocker_x,Blocker_y
0,2,28,15,21,19,6
1,3,27,15,21,19,6
2,4,26,15,21,19,6
3,5,25,15,21,19,6
4,6,24,15,21,19,6
5,7,24,15,21,19,6
6,8,24,15,21,19,6
7,9,24,15,21,19,6
8,10,24,15,21,19,6
9,10,23,15,21,19,6
10,10,22,15,21,19,6
11,10,21,15,21,19,6
12,10,20,15,21,19,6
13,10,19,15,21,19,6
14,11,18,15,21,19,6
15,12,18,15,21,19,6
16,12,19,16,21,19,6
17,12,20,16,21,19,6
18,13,21,17,21,19,6
19,13,22,17,21,19,6
20,14,23,18,21,19,6
21,15,24,18,21,19,6
22,16,24,19,21,19,6
23,17,24,19,21,19,6
24,18,24,20,21,19,6
25,19,24,20,21,19,6
26,20,24,21,21,19,6
27,21,24,21,21,19,6
28,22,24,21,21,19,6
29,23,24,21,21,19,6
30,24,24,21,21,19,6
31,25,23,21,21,19,6
32,25,22,21,21,19,6
33,25,21,21,21,19,6
34,25,20,21,21,19,6
35,25,19,21,21,19,6
36,25,18,21,21,19,6
37,26,17,21,21,19,6
38,26,16,21,21,19,6
39,27,15,21,21,19,6
40,27,14,21,21,19,6
41,28,13,21,21,19,6
42,28,12,21,21,19,6
43,28,11,21,21,19,6
44,28,10,21,21,19,6
45,28,9,21,21,19,6
46,28,8,21,21,19,6
47,28,7,21,21,19,6
48,28,6,21,21,19,6
49,28,5,21,21,19,6
50,28,4,21,21,19,6
51,28,3,21,21,19,6
52,28,2,21,21,19,6
